D&D Build #,Name/Link,Overview,Role,Race,Class (Subclass):# of Levels
1,The Hexblade (AKA Pamlock),"Polearm Master, Great Weapon Master, Darkness+Devil's Sight (or Shadow of Moil) to hit stuff HARD",Sustained DPR,V. Human (VH),Warlock (Hexblade):17
2,The Ranged Fighter,"Crossbow Xpert, Sharpshooter, lots of hard hitting ranged attacks",Sustained DPR,VH,Fighter (Rune Knight):17
3,The Bear Totem Barb Tank,Be hard to kill and try to lock enemies down while doing so,Tank,VH,Barbarian (Totem Warrior):17
4,The Monk Ranger (Monger),Take advantage of Hunter's Mark by making lots of Monk attacks,Sustained DPR,PYF (Wood Elf),"Monk (Kensei):14, Ranger (Hunter):3"
5,The Assasserer,"With auto-crits from surprise, how much burst damage can we do with lots of multiclassing?",Burst/Nova,Elf (Mark of Shadow),"Sorcerer (Divine Soul):10, Ranger (Gloomstalker):5, Rogue (Assassin):3, Paladin (N/A):2"
6,The Sorlock,Darkness+Devil's Sight +Eldritch Blast +Spiritual Weapon = lots of ranged damage with relative safety,Sustained DPR,Half Elf (Drow),"Sorcerer (Divine Soul):14, Warlock (Hexblade):3"
7,The Bladesinger,Shadow Blade + Elven Accuracy = good damage + all those Wizard spells,Sustained DPR,High Elf,Wizard (Bladesinging):17
8,The Fightarian,"Breaking down who's the better PAM+GWM user, the Fighter or the Barbarian? (Answer: Both)",Sustained DPR,VH,"Fighter (Rune Knight):14, Barbarian (Zealot):3"
9,The Killer Bard,"XBX, SS, Hand Xbow Mostly Bard that does high ranged damage and… still gets to Bard :)",Sustained DPR,Changeling,"Bard (Swords):13, Fighter (Rune Knight):3, Warlock (Hexblade):1"
10,Spell Damage Analysis,trying to figure out which spells were best for each class for sustained DPR,,,
11,The Death Cleric,"Trying to do damage to multiple enemies every round via Toll the Dead, Spirit Guardians, etc.",Sustained DPR (Multi-Target),VH,Cleric (Death):17
12,The Paladin Tank (Tankadin),Be hard to kill and protect your allies as best you can as a Pally Tank,Tank,VH,"Paladin (Crown):16, Sorcerer (Divine Soul):1"
13,The PHB Beast Master,A viable Beast Master using the Player's Handbook version!?,Sustained DPR,Wood Elf,Ranger (Beast Master):17
